,Product,price,sales,province
0,กาแฟสกัดเย็น Peaberry Reserve Cold Brew  [กลมกล่อม หอมละมุน] และ DARK [เข้ม หอม ไม่เปรี้ยว] แวลู่คอฟฟี่,534,7,จังหวัดเชียงใหม่
1,โซลิโต้ เมล็ดกาแฟคั่ว ออแกนิคโค่ (500 กรัม),608,0,จังหวัดสมุทรสาคร
2,"Huan Roastery << GOOD DAY>>  เมล็ดกาแฟคั่วกลางอ่อน โทนดอกไม้ บลูเบอรี่ สดชื่นEthiopia/Myanmar""Signature Blend""ติดใจทุกคน",180,55,จังหวัดกรุงเทพมหานคร
3,โซลิโต้ เมล็ดกาแฟคั่ว เอสเพรสโซ่ พรีเมี่ยม เบลนด์ (500 กรัม),329,1,จังหวัดสมุทรสาคร
4,FATIS COFFEE กาแฟฟาทีส 24 กล่อง (กล่องละ 15 ซอง) โดย TV Direct,4390,39,จังหวัดสมุทรปราการ
5,บอนที ชาผง ชาผลไม้ปรุงสำเร็จรูป 5 รสชาติ กลิ่นแอปเปิ้ล กลิ่นเลม่อน กลิ่นพีช ขนาด 1000 กรัม ตรา Bontea ชาพีช ชาเลม่อน,194,98,จังหวัดสิงห์บุรี
6,【COD】SUS304 แก้วเชคค็อกเทล เชคเกอร์ ชานม นํ้าผลไม้ สแตนเลส ขนาด 9PCS 550/750ML ค็อกเทล Cocktail Shaker 9pcs Shaker Kit,229,105,จังหวัดกรุงเทพมหานคร
7,เมล็ดกาแฟคั่ว Guatemala (Oriete Natural) Taste Notes สตรอว์เบอร์รี่ แตงโม ผลไม้หอมหวาน รสชาติซับซ้อน,400,10,จังหวัดกรุงเทพมหานคร
8,เมล็ดกาแฟปานามา Bella​ Dama : Gesha & Caturra กาแฟคั่วอ่อนโทนดอกไม้และผลไม้,600,62,จังหวัดกรุงเทพมหานคร
9,1000 มล. Cold brew หม้อกาแฟแก้วครัวเรือนเย็น quenching เย็นหม้อต้มน้ำผลไม้ชาผลไม้เย็น brew ขวดน้ำแข็งหยดเครื่องชงกาแฟเย็,376,8,จังหวัดกรุงเทพมหานคร
10,พรีวิสโต้ กูร์เมท ไซรัป🍎 Previsto Gourmet 750ml ไซรัปกาแฟ ไซรัปคาราเมล,200,4,จังหวัดกรุงเทพมหานคร
11,ผงชง ตราใบไม้แดง ผงชานมไข่มุก ผงชงเครื่องดื่มสำเร็จรูป ผงกล้วยหอม ผงกาแฟ ผงชา ผงผลไม้ 1 ซอง  (R),44,22,จังหวัดนครปฐม
12,🌼🌼ถาดผลไม้สไตล์ยุโรปห้องนั่งเล่นที่ทันสมัยในครัวเรือนตะกร้าผลไม้หลายชั้นสร้างสรรค์แฟชั่นผลไม้แห้งถาดขนมโต๊ะกาแฟถาดขนม,800,4,จังหวัดกรุงเทพมหานคร
13,กาแฟดำรสผลไม้ black & fruity coffee เพื่อความสดชื่นสำหรับคนชอบกาแฟดำ และรักสุขภาพ,130,28,จังหวัดเชียงใหม่
14,"ไซรัปกาแฟ ลองบีช (คาราเมล,วนิลลา,เฮเซลนัท)",145,460,จังหวัดชลบุรี
15,เมล็ดกาแฟเคนย่า Sweet of Savanna กาแฟคั่วอ่อน โทนหวานฉ่ำๆ ผลไม้,580,18,จังหวัดกรุงเทพมหานคร
16,กาแฟดูโอ  (ไลฟ์ กรุ๊ป Du-O Coffee) กาแฟปรุงสำเร็จผสมสารสกัดจากผักผลไม้และเห็ดหลินจือ (1 กล่อง บรรจุ 15 ซอง),200,2,จังหวัดเชียงราย
17,Longbeach syrup coffee syrub ลองบีช ไซรัป ไซรัปกาแฟ ไซรัปผลไม้ ไซรัปคาราเมล ขนาด 740 ml.,128,1,จังหวัดขอนแก่น
18,MD BLEND 250 g. : กาแฟคั่วกลาง Arabica 100% เกรด A หวานหอม เปรี้ยวแบบผลไม้ มีรสถั่ว ช๊อค เหมาะสำหรับชงเมนูร้อนและเย็น,150,14,จังหวัดเชียงใหม่
19,Lin Yuzu Syrup ไซรัปส้มยูสุผสมเนื้อส้มยูสุ  ไซรัปกาแฟ,280,22,จังหวัดกรุงเทพมหานคร
20,⭕️ Time&Temp Day Time ( Seasonal Blend ) เมล็ดกาแฟ คั่วกลางตามฤดูกาล เปรี้ยวผลไม้สดชื่น 🔥 ( Medium Roasted ) ( 250g ),370,41,จังหวัดพิษณุโลก
21,(1ห่อ/1ขีด)ผงชง ตราถ้วยทอง ผงชงกาแฟ ผงชานม ผงชงน้ำ ผงชงน้ำผลไม้ ผงน้ำเครื่องดื่มสำเร็จรูป (AL5),22,3,จังหวัดนครปฐม
22,น้ำผึ้งดอกกาแฟขวด เหลี่มผลาติกแบบ 1 ขวด 🐝🐝🐝,90,297,จังหวัดกรุงเทพมหานคร
23,เมล็ดกาแฟเอธิโอเปีย Coffee Lamp กาแฟคั่วอ่อนโทนดอกไม้และผลไม้,600,12,จังหวัดกรุงเทพมหานคร
24,ถุงกรองชา กาแฟ ผลไม้,25,301,จังหวัดเพชรบุรี
25,ไอดอล สลิม รสสตอเบอรี่(รสผลไม้),65,211,จังหวัดกรุงเทพมหานคร
26,🔥CTEA🧋หัวปั้มน้ำเชื่อม ขวดปั๊มไซรัป ขวดพลาสติก ขวดน้ำตาลผลไม้ น้ำผึ้ง ทีละ10ccชานม-อุปกรณ์ร้านกาแฟ ขวดใส่น้ำเชื่อม,110,157,จังหวัดนครปฐม
27,ไซรับน้ำหวาน LongBeach คาราเมล กาแฟ ขนาด 740 ml,145,120,จังหวัดนครปฐม
28,น้ำมะปี๊ด สูตรเข้มข้น ขวดใหญ่ 750 มล. เปรี้ยวอมหวานส้ม เข้มข้นรสมะปี๊ด เมนูใหม่ที่ร้านกาแฟต้องมี,390,6,จังหวัดจันทบุรี
29,fruitbymui คอมบูชา พรีเมี่ยม 450ml ชาหมัก น้ำผึ้ง ผลไม้สด กาแฟสด ออแกนิค kombucha คอมบูชะ ดีท็อกซ์ โพรไบโอติก probiotic,200,10,จังหวัดกรุงเทพมหานคร
30,ลองบีช ไซรัป ไซรัปกลิ่นกาแฟ+นม / LongBeach Syrup / 740ml,135,19000,จังหวัดกรุงเทพมหานคร
31,✪เครื่องคั้นมะนาวแบบแมนนวล เครื่องคั้นน้ำส้มแบบพกพา Hand Press เครื่องคั้นน้ำผลไม้สแตนเลสมะนาวส้มทับทิมคั้นน้ำผลไม้,128,5,จังหวัดกรุงเทพมหานคร
32,"Ethiopia,NaturalG1ชงได้ทั้งDripและEspressoสายผลไม้ต้องลอง",300,2,จังหวัดลพบุรี
33,เมล็ดกาแฟโคลัมเบีย El Paraiso Lychee กาแฟคั่วอ่อน โทนดอกไม้และผลไม้ เปรี้ยวอมหวานของลิ้นจี่และฝรั่งชมพู,780,29,จังหวัดกรุงเทพมหานคร
34,ผงติ่งฟง หลากหลายรส  ผงชา ผงกาแฟ ผงผลไม้ ขนาด 150g.,35,46000,จังหวัดกรุงเทพมหานคร
35,Oxy coffee กาแฟ  ETHIOPIA YIRGACHEFFE DEBO ผลไม้พวกแบล็คเบอร์รี่ กาแฟ คั่วกลาง-เข้ม arabica 100%,440,1,จังหวัดนครปฐม
36,กาแฟดอยช้าง เชียงราย เฮ้าเบลน รสชาติดั่งเดิม คั่วกลาง เข้มนุ่มละมุน รสชาติผลไม้สดชื่นสุดๆ หอมกลิ่นฮันนี่ สูตรเบลนเฉพาะขอ,154,2,จังหวัดเชียงราย
