,Product,price,sales,province
0,🌱เมล็ดพันธุ์มะเขือเทศเชอรี่กลม🌱 30 เมล็ด  5️⃣เเถม1️⃣คละได้  ],8,38000,จังหวัดนนทบุรี
1,มะเดื่อฝรั่ง สายพันธ์ Bordissot Rossa พันธ์จากประเทศสเปน รสชาติหวานอร่อยมากๆ ต้นสวยงาม แข็งแรง รากแน่น พร้อมปลูก!!!,480,13,จังหวัดนครปฐม
2,ผลิตภัณฑ์ใหม่ เมล็ดพันธุ์ ผักซอง ศรแดง มะเขือเปราะ ลูกผสม เขียวมณี #014 เมล็ดพันธุ์ เมล็ดพันธุ์ลูกผสม เมล็ดพันธ คล/ขาย H,10,0,จังหวัดกระบี่
3,ผลิตภัณฑ์ใหม่ เมล็ดพันธุ์ จุดประเทศไทย ❤พะยูงไหหลำ (ชุด 10 ต้น)เมล็ดอวบอ้วน 100% รอคอยที่จะให้ความสนใจของคุณ JNL ค/เมล็ด,39,0,จังหวัดกระบี่
4,เมล็ด ผักบุ้ง อินทรีย์ เมล็ดพันธุ์คุณภาพสูงในสต็อกในประเทศไทย พร้อมส่งถั่วพูยักษ์ สีม่วงถูกที่สุด 19 บ.ฝักให คละ สวนครัว,12,0,จังหวัดนราธิวาส
5,"ตะกร้อหมาน Power Hook ตะกร้อมะเฟืองวิ่งเปล่า"" ตกปลาบึก""",240,2,จังหวัดสุพรรณบุรี
6,*ถูกสุด*พร้อมส่ง ตะกั่วทรงมะเฟือง,15,2000,จังหวัดปทุมธานี
7,กลีบมะเฟืองเงิน กลีบมะเฟืองทอง Parodia Magnifica,50,0,จังหวัดกาญจนบุรี
8,น้ำยาล้างจานมะเฟือง Star Fruit Dish-washing Liquid ภัทรพัฒน์ 220มล.,22,32,จังหวัดกรุงเทพมหานคร
9,สมุนไพรบำรุงหน้า ผงถั่วเขียว/มะเฟือง ชุด พอก ขัด นวดใน1ชุดมีถั่วเขียวบด และน้ำเอนไซม์มะเฟือง,119,3,จังหวัดกรุงเทพมหานคร
10,(yinggy) กระบองเพชรไม้ลำ แคคตัส cactus Notocactus magnificus/โนโตแคคตัส แมกนิฟิคัส/แคคตัส กลีบมะเฟือง/บอลลูนแคคตัส,55,275,จังหวัดนนทบุรี
11,ชุดสมุนไพรสวนปานะ ถั่วเขียว 60 g +มะเฟือง 100 ml,70,175,จังหวัดสมุทรสาคร
12,น้ำหมักชีวภาพมะเฟืองปฐม250มล.,49,30,จังหวัดกำแพงเพชร
13,ต้นมะเฟืองหวาน ผลใหญ่รสหวาน แบบเสียบยอด,100,2,จังหวัดสกลนคร
14,รางปืนยิงปลากลม (ทรงมะเฟือง) ทำจากอลูมิเนียมชุบแข็ง ยาว 120 เซน กว้าง 22 มิล ร่องลูกดอก 4-5 มิล (รางเปล่าแบบไม่แจะ),500,0,จังหวัดตาก
15,ตะกั่วมะเฟือง ตะกั่วตกปลา 80g 1 โล ราคาถูก น้ำหนัก ขนาด มาตรฐาน ตะกั่วฟิวตกปลา ตะกั่วเท็กซัส ตะกั่วตกเบ็ด ยกโล,80,25,จังหวัดกรุงเทพมหานคร
16,"หัวเชื้อน้ำหมักมะเฟือง น้ำหมักผลไม้ น้ำหมักธรรมชาติ หัวเชื้อน้ำยาซักล้างเอนกประสงค์ ขนาด 1,000 ml. (1ลิตร)",50,25,จังหวัดบุรีรัมย์
17,"สบู่มาดามเฮง✨สบู่ไหว้พระจันทร์,สบู่สมุนไพรมะเฟืองแท้,สบู่หอม เค โคปาคาบาน่า สูตรวิตามินซี,สบู่สมุนไพรฝรั่งแท้✨ขายเป็นก้อ",28,1,จังหวัดนนทบุรี
18,โลชั่นมะเฟือง STAR FRUIT BODY LOTION Brightening ภัทรพัฒน์ 300ml.,200,4,จังหวัดกรุงเทพมหานคร
19,ต้นมะเฟือง เพาะเมล็ด สูง 20 เซน เสียหายเคลมฟรี,35,8,จังหวัดพิษณุโลก
20,ผลิตในไทย ส่งไว ตะกั่วทรงมะเฟือง ตกปลา ขนาดน้ำหนัก 20-30-40 กรัม บรรจุ 1กิโลกรัมเต็ม บรรจุในกระปุกพลาสติก,45,81,จังหวัดเพชรบูรณ์
21,ตะกั่วมะเฟือง ตะกั่วตกปลา 30g 1 โล ราคาถูก น้ำหนัก ขนาด มาตรฐาน ตะกั่วฟิวตกปลา ตะกั่วเท็กซัส ตะกั่วตกเบ็ด ยกโล,80,17,จังหวัดกรุงเทพมหานคร
22,รางกลมมะเฟืองยาว​130​เซนติเมตร​,890,5,จังหวัดปทุมธานี
23,Munich Play - เต่ามะเฟือง ขนาด 15.00 CM (จากหาดใหญ่),230,3,จังหวัดสงขลา
24,หน้าไม้ ทรงมือสอดไม้ยางนา มีให้เลือก 2 ราง 1.รางเอกซ์ 2.รางมะเฟือง แถมอุปกรณ์ พร้อมใช้งาน,1398,29,จังหวัดอุดรธานี
25,ตะกร้อ ตะกร้อมะเฟือง ตะกร้อปลาบึก ตะกร้อวิ่ง ตะกร้อตะกั่ว อัพเดท 4/65,30,22000,จังหวัดกรุงเทพมหานคร
26,หัวเชื้อน้ำหมักมะเฟือง น้ำหมักผลไม้ น้ำหมักธรรมชาติ หัวเชื้อน้ำยาซักล้างเอนกประสงค์ ขนาด 600 ml.,25,24,จังหวัดบุรีรัมย์
27,เครื่องทำขนมไข่ลายมะยม/มะเฟือง NP-522 (Cake cooker machine),6999,2,จังหวัดกรุงเทพมหานคร
28,กลีบมะเฟือง แคคตัส Parodia Magnifica กระถาง 2 นิ้ว 🔥โปร 10 แถม1🔥,25,99,จังหวัดระยอง
29,ผลิตในไทย ส่งไว ตะกั่วทรงลูกปืน ทรงมะเฟือง ตกปลา ขนาดน้ำหนัก 5-10-15-20-25-30-40 กรัม บรรจุ 1กิโลกรัม บรรจุกระปุกพลาสติก,124,218,จังหวัดเพชรบูรณ์
30,ตะกั่วมะเฟือง ตะกั่วตกปลา น้ำหนักเม็ดละ 30 กรัม 40กรัมและ 50 กรัม,55,370,จังหวัดตรัง
31,ชุดเตาขนมไข่ลายรวมรุ่นฐานจานC30พร้อมใช้งาน พิมพ์12นิ้ว 20ดอก ขนาดมะเฟือง5ซม/2นิ้ว มะยม5ซม/1.5นิ้ว พิมพ์ขนมเหล็กขนาด12นิ้,2190,1,จังหวัดกาฬสินธุ์
32,ตะกั่วตกปลา ทรงมะเฟือง ขนาด 30/40/50 กรัม,20,849,จังหวัดลพบุรี
33,แคคตัส อิชินอปซิส/แคคตัสกลีบมะเฟืองทอง/ม้าลายฮาโวเทีย ทรงสวย ฟอร์มดี มีหลากหลายขนาดเลือกได้จากรูปเลยค่ะ ถ่ายจริงจากต้นคะ,120,3,จังหวัดกรุงเทพมหานคร
34,รางปืนยิงปลา (พร้อมเจาะปีก-ไก) ทรงมะเฟืองสีเงิน ความยาวราง 120 เซนติเมตร,390,18,จังหวัดตาก
35,ต้นพันธุ์มะเฟืองยักษ์ สูง 40-50 ซม.,63,110,จังหวัดสกลนคร
36,หัวขูดมะพร้าวไฟฟ้า แบบหัวตะปูและกลีบมะเฟือง,260,24,จังหวัดกรุงเทพมหานคร
37,"ตะกั่วตกปลา ตะกั่วทรงมะเฟือง ตะกั่วตกปลา 20g, 30g, 40g, 50g, อุปกรณ์ตกปลา พร้อมส่ง",80,7,จังหวัดยะลา
38,ตะกั่วมะเฟือง ตะกั่วตกปลา 40g 1 โล ราคาถูก น้ำหนัก ขนาด มาตรฐาน ตะกั่วฟิวตกปลา ตะกั่วเท็กซัส ตะกั่วตกเบ็ด ยกโล,80,2,จังหวัดกรุงเทพมหานคร
39,พิมพ์ขนมไข่ เหล็กหล่อ เผาแล้วพร้อมใช้งาน ขนาด 20 หลุม พิมพ์มะเฟือง ขนมไข่ พิมพ์ขนม พิมพ์เหล็กหล่อ ไร้สารเคมีเคลือบผิว,330,28,จังหวัดสมุทรปราการ
40,น้ำชีวภาพมะเฟือง ปริมาณสุทธิ 300 cc,60,91,จังหวัดกรุงเทพมหานคร
41,ตะกั่ว มะเฟือง ตะกั่วลูกปืน  20/40/70/100/140 กรัม,60,25,จังหวัดระนอง
42,"ต้นมะเฟือง/ไม้ให้ร่มเงาผลดกรสเปรี้ยวมีวิตามินซี,ช่วยสร้างภูมต้านทานลดไขมันในเลือด",40,67,จังหวัดสกลนคร
43,⭐️โลชั่นมะเฟือง รักษ์สมุนไพรไทย⭐️,42,208,จังหวัดกรุงเทพมหานคร
